bit_32,ico,ico_name,source,state,cate,cate_name
0,H,HIDROLOGICA,SENAMHI_HISTORIC,AUTOMATICA,CO,Climatica_Ordinaria
1,M,METEOROLOGICA,PISCOp,DIFERIDO,CP,Climatica_Principal
2,nodata,nodata,SENAMHI-REALTIME,REAL,EAA,Estacion_Agrometeorologica_Automatica
3,NA,NA,CLIMANDES,nodata,EAMA,Estacion_Agrometeorologica_Automatica
4,NA,NA,CR2,NA,EHA,Estacion_Hidrologica_Automatica
5,NA,NA,IDEAM,NA,EHMA,Estacion_Hidrometeorologica_Automatica
6,NA,NA,INAMHI,NA,EMA,Estacion_Meteorologica_Automatica
7,NA,NA,ANA,NA,HLG,Estacion_Hidrologica_Limnigrafica
8,NA,NA,NA,NA,HLM,Estacion_Hidrologica_Limnimetrica
9,NA,NA,NA,NA,MAP,Estacion_Meteorologica_Agricola_Principal
b,NA,NA,NA,NA,PE,Estacion_Meteorologica_Proposito_Especifico
c,NA,NA,NA,NA,nodata,nodata
d,NA,NA,NA,NA,NA,NA
e,NA,NA,NA,NA,NA,NA
f,NA,NA,NA,NA,NA,NA
g,NA,NA,NA,NA,NA,NA
h,NA,NA,NA,NA,NA,NA
j,NA,NA,NA,NA,NA,NA
k,NA,NA,NA,NA,NA,NA
m,NA,NA,NA,NA,NA,NA
o,NA,NA,NA,NA,NA,NA
p,NA,NA,NA,NA,NA,NA
q,NA,NA,NA,NA,NA,NA
r,NA,NA,NA,NA,NA,NA
s,NA,NA,NA,NA,NA,NA
t,NA,NA,NA,NA,NA,NA
u,NA,NA,NA,NA,NA,NA
v,NA,NA,NA,NA,NA,NA
w,NA,NA,NA,NA,NA,NA
x,NA,NA,NA,NA,NA,NA
y,NA,NA,NA,NA,NA,NA
z,NA,NA,NA,NA,NA,NA
